FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=570 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=318 frame=7.5587 sim=0.7365 route=0.0081 render=5.3851 simTicks=1 resim=0 | cmd=0.0031 move=0.0148 vis=0.059 econ=0.007 combat=0.3184 route=0.0556 coll=0.0476 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=27 frame=7.5579 sim=0.2765 route=0.0269 render=5.8931 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=448 frame=7.5539 sim=0.8026 route=0.0084 render=5.3617 simTicks=1 resim=0 | cmd=0.006 move=0.018 vis=0.0529 econ=0.007 combat=0.3244 route=0.0573 coll=0.0498 (field=0 x0 prewarm=0.003 x0) | botsP0=4 botsP1=3 stalled=0
tick=515 frame=7.5519 sim=0.8447 route=0.0093 render=5.3077 simTicks=1 resim=0 | cmd=0.0033 move=0.0157 vis=0.053 econ=0.0068 combat=0.3847 route=0.0501 coll=0.0549 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=340 frame=7.5489 sim=0 route=0 render=6.4126 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=5 frame=7.5483 sim=0 route=0 render=6.9153 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=383 frame=7.5453 sim=0 route=0 render=6.4295 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=314 frame=7.5441 sim=0.6603 route=0.0081 render=5.7102 simTicks=1 resim=0 | cmd=0.0031 move=0.0122 vis=0.0559 econ=0.0068 combat=0.2828 route=0.0492 coll=0.0537 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=495 frame=7.5424 sim=0 route=0 render=6.2778 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=366 frame=7.5414 sim=0 route=0 render=6.4325 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=209 frame=7.5395 sim=0 route=0 render=6.3252 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=425 frame=7.5318 sim=0 route=0 render=6.4406 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=92 frame=7.5317 sim=0.3339 route=0.011 render=5.8605 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=570 frame=7.5239 sim=0.752 route=0.0083 render=5.8372 simTicks=1 resim=0 | cmd=0.0041 move=0.026 vis=0.0575 econ=0.0069 combat=0.319 route=0.0703 coll=0.0452 (field=0 x0 prewarm=0.0029 x0) | botsP0=4 botsP1=3 stalled=0
tick=498 frame=7.5109 sim=0 route=0 render=6.2749 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=115 frame=7.5107 sim=0 route=0 render=6.1902 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=482 frame=7.5052 sim=0 route=0 render=6.483 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=103 frame=7.496 sim=0 route=0 render=6.2 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=30 frame=7.4939 sim=0 route=0 render=6.3537 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=477 frame=7.4927 sim=0 route=0 render=5.9285 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=552 frame=7.4898 sim=0 route=0 render=6.5119 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=51 frame=7.4859 sim=0 route=0 render=6.378 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=508 frame=7.4837 sim=0 route=0 render=6.301 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=170 frame=7.4762 sim=0.7833 route=0.0096 render=5.6122 simTicks=1 resim=0 | cmd=0.0035 move=0.0144 vis=0.063 econ=0.0076 combat=0.3423 route=0.0542 coll=0.0551 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=379 frame=7.4704 sim=0 route=0 render=6.3704 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=34 frame=7.4628 sim=0 route=0 render=6.8196 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=376 frame=7.461 sim=0 route=0 render=6.5287 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=160 frame=7.4604 sim=0.7522 route=0.0084 render=19.1895 simTicks=1 resim=0 | cmd=0.0036 move=0.0136 vis=0.0558 econ=0.0069 combat=0.3068 route=0.0476 coll=0.0482 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=349 frame=7.4596 sim=0 route=0 render=6.2142 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=347 frame=7.4527 sim=0 route=0 render=6.2241 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=517 frame=7.4451 sim=0 route=0 render=6.1513 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=151 frame=7.4448 sim=0 route=0 render=6.2256 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=449 frame=7.4432 sim=0 route=0 render=6.4889 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=225 frame=7.4371 sim=0 route=0 render=6.5664 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=329 frame=7.436 sim=0.7177 route=0.0088 render=5.5182 simTicks=1 resim=0 | cmd=0.0032 move=0.0142 vis=0.0659 econ=0.0068 combat=0.2935 route=0.0574 coll=0.0498 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=461 frame=7.4328 sim=0 route=0 render=6.8805 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=67 frame=7.4295 sim=0 route=0 render=6.4081 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=191 frame=7.4291 sim=0 route=0 render=6.5053 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=61 frame=7.4265 sim=0 route=0 render=6.1017 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=522 frame=7.4218 sim=0.713 route=0.0085 render=5.6874 simTicks=1 resim=0 | cmd=0.003 move=0.0289 vis=0.0542 econ=0.0068 combat=0.2972 route=0.0565 coll=0.0474 (field=0 x0 prewarm=0.0028 x0) | botsP0=4 botsP1=3 stalled=0
tick=508 frame=7.421 sim=1.0061 route=0.0095 render=5.1706 simTicks=1 resim=0 | cmd=0.0035 move=0.0152 vis=0.0642 econ=0.0071 combat=0.4659 route=0.0898 coll=0.0519 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=171 frame=7.4172 sim=0 route=0 render=6.1997 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=29 frame=7.4164 sim=0 route=0 render=6.3245 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=324 frame=7.4111 sim=0 route=0 render=6.3026 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=443 frame=7.4096 sim=0 route=0 render=6.3968 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=393 frame=7.4065 sim=0 route=0 render=6.6018 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=208 frame=7.4049 sim=0.7097 route=0.009 render=5.7019 simTicks=1 resim=0 | cmd=0.0042 move=0.0201 vis=0.0608 econ=0.0071 combat=0.2833 route=0.0556 coll=0.0505 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=481 frame=7.4045 sim=0 route=0 render=6.8841 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=540 frame=7.3989 sim=0.7285 route=0.0121 render=5.7369 simTicks=1 resim=0 | cmd=0.0032 move=0.0128 vis=0.0527 econ=0.0071 combat=0.2988 route=0.0567 coll=0.0496 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=185 frame=7.3983 sim=0.6838 route=0.009 render=5.8861 simTicks=1 resim=0 | cmd=0.0032 move=0.0137 vis=0.0584 econ=0.0071 combat=0.2802 route=0.0555 coll=0.0501 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=111 frame=7.3963 sim=0 route=0 render=6.307 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=126 frame=7.3887 sim=0 route=0 render=6.3201 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=424 frame=7.3881 sim=0 route=0 render=6.3502 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=417 frame=7.3875 sim=0 route=0 render=6.687 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=360 frame=7.3875 sim=0.7049 route=0.0093 render=5.7587 simTicks=1 resim=0 | cmd=0.0032 move=0.0141 vis=0.0514 econ=0.0067 combat=0.3084 route=0.0516 coll=0.0533 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=523 frame=7.3874 sim=0 route=0 render=6.3771 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=537 frame=7.3863 sim=0 route=0 render=6.5242 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
