FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5780 frame=93.3248 sim=157.931 route=0.1084 render=4.615 simTicks=11 resim=22 | cmd=0.2133 move=0.9805 vis=20.7353 econ=0.7275 combat=44.2406 route=139.815 coll=15.8255 (field=0.4751 x1649 prewarm=124.258 x43) | botsP0=463 botsP1=2 stalled=0
tick=5761 frame=92.628 sim=24.8182 route=0.0599 render=4.6066 simTicks=9 resim=24 | cmd=0.1735 move=0.7625 vis=20.2625 econ=0.7361 combat=14.8954 route=19.0679 coll=20.1483 (field=0.84 x3946 prewarm=0.6743 x0) | botsP0=463 botsP1=2 stalled=1
tick=5769 frame=88.5408 sim=31.2788 route=0.0646 render=6.7995 simTicks=8 resim=24 | cmd=0.2532 move=0.7585 vis=20.2706 econ=0.7063 combat=17.9647 route=24.4053 coll=14.7724 (field=0.6343 x3337 prewarm=12.305 x4) | botsP0=463 botsP1=2 stalled=0
tick=5614 frame=69.4797 sim=109.037 route=0.0513 render=4.3632 simTicks=8 resim=7 | cmd=0.0556 move=0.2988 vis=8.0211 econ=0.261 combat=28.5111 route=85.9688 coll=7.3012 (field=0.3741 x3037 prewarm=78.6437 x28) | botsP0=463 botsP1=3 stalled=0
tick=5606 frame=51.5871 sim=52.8953 route=0.0377 render=3.639 simTicks=6 resim=3 | cmd=0.0326 move=0.172 vis=4.2488 econ=0.1482 combat=14.4273 route=40.176 coll=4.4729 (field=0.2345 x1980 prewarm=34.9763 x12) | botsP0=463 botsP1=3 stalled=0
tick=4529 frame=25.1095 sim=6.2451 route=0.0156 render=4.6553 simTicks=2 resim=3 | cmd=0.0468 move=0.0985 vis=6.0659 econ=0.0584 combat=5.6559 route=1.7961 coll=2.1632 (field=0.0334 x611 prewarm=0.0369 x0) | botsP0=463 botsP1=3 stalled=0
tick=1005 frame=24.5697 sim=2.0645 route=0.0204 render=1.2988 simTicks=3 resim=0 | cmd=0.012 move=0.043 vis=0.146 econ=0.0261 combat=0.9902 route=0.1698 coll=0.1534 (field=0 x0 prewarm=0.0081 x0) | botsP0=8 botsP1=3 stalled=0
tick=869 frame=24.4866 sim=1.932 route=0.0162 render=1.2291 simTicks=3 resim=0 | cmd=0.0099 move=0.039 vis=0.1554 econ=0.0207 combat=0.9044 route=0.1778 coll=0.1656 (field=0 x0 prewarm=0.0076 x0) | botsP0=8 botsP1=3 stalled=0
tick=705 frame=24.2556 sim=2.9646 route=0.0237 render=1.4838 simTicks=3 resim=0 | cmd=0.014 move=0.3076 vis=0.1473 econ=0.0306 combat=1.3039 route=0.4258 coll=0.1512 (field=0 x0 prewarm=0.0068 x0) | botsP0=4 botsP1=3 stalled=0
tick=1387 frame=24.1727 sim=2.2552 route=0.0212 render=1.2612 simTicks=3 resim=0 | cmd=0.011 move=0.0463 vis=0.1707 econ=0.0261 combat=1.0736 route=0.1666 coll=0.1724 (field=0 x0 prewarm=0.0076 x0) | botsP0=8 botsP1=3 stalled=0
tick=560 frame=24.1297 sim=2.3199 route=0.0198 render=1.5094 simTicks=3 resim=0 | cmd=0.01 move=0.0376 vis=0.1367 econ=0.0211 combat=0.9848 route=0.1716 coll=0.1322 (field=0 x0 prewarm=0.0125 x0) | botsP0=3 botsP1=3 stalled=0
tick=1678 frame=24.0157 sim=2.2899 route=0.0205 render=1.5155 simTicks=3 resim=0 | cmd=0.0111 move=0.0461 vis=0.2939 econ=0.0275 combat=0.9766 route=0.1724 coll=0.2458 (field=0 x0 prewarm=0.0073 x0) | botsP0=63 botsP1=3 stalled=0
tick=5018 frame=23.9533 sim=7.0286 route=0.031 render=5.0694 simTicks=3 resim=3 | cmd=0.026 move=0.1248 vis=3.6399 econ=0.1154 combat=3.1202 route=3.2866 coll=3.2429 (field=0.0745 x1073 prewarm=0.1191 x0) | botsP0=463 botsP1=3 stalled=0
tick=4345 frame=23.9299 sim=7.6768 route=0.0354 render=4.9329 simTicks=3 resim=2 | cmd=0.018 move=0.0937 vis=2.4432 econ=0.0528 combat=2.4276 route=2.5066 coll=2.4977 (field=0.031 x597 prewarm=0.1176 x0) | botsP0=463 botsP1=3 stalled=0
tick=744 frame=23.9141 sim=1.4025 route=0.0126 render=1.1604 simTicks=2 resim=0 | cmd=0.0117 move=0.0312 vis=0.1053 econ=0.0149 combat=0.6468 route=0.1217 coll=0.1024 (field=0 x0 prewarm=0.0049 x0) | botsP0=5 botsP1=3 stalled=0
tick=1174 frame=23.7983 sim=2.1794 route=0.0216 render=1.3091 simTicks=3 resim=0 | cmd=0.0194 move=0.0564 vis=0.1503 econ=0.0287 combat=0.9871 route=0.201 coll=0.1558 (field=0 x0 prewarm=0.0093 x0) | botsP0=8 botsP1=3 stalled=0
tick=2622 frame=23.7937 sim=5.3892 route=0.0249 render=2.4956 simTicks=3 resim=0 | cmd=0.0132 move=0.0569 vis=0.7834 econ=0.0455 combat=2.7842 route=0.5112 coll=0.6471 (field=0 x0 prewarm=0.0084 x0) | botsP0=228 botsP1=3 stalled=0
tick=3132 frame=23.6435 sim=3.1904 route=0.0164 render=2.7585 simTicks=3 resim=0 | cmd=0.0092 move=0.0466 vis=0.817 econ=0.0568 combat=0.9415 route=0.2029 coll=0.6627 (field=0 x0 prewarm=0.0086 x0) | botsP0=268 botsP1=3 stalled=0
tick=1202 frame=23.6371 sim=1.8165 route=0.016 render=1.8786 simTicks=3 resim=0 | cmd=0.0091 move=0.0382 vis=0.1483 econ=0.0236 combat=0.8591 route=0.1628 coll=0.1453 (field=0 x0 prewarm=0.0073 x0) | botsP0=8 botsP1=3 stalled=0
tick=802 frame=23.6343 sim=1.4286 route=0.0142 render=1.2312 simTicks=2 resim=0 | cmd=0.0099 move=0.0361 vis=0.1187 econ=0.0199 combat=0.6099 route=0.1186 coll=0.1033 (field=0 x0 prewarm=0.0041 x0) | botsP0=6 botsP1=3 stalled=0
