FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6201 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4741 frame=17.3575 sim=3.7975 route=0.3353 render=6.5181 simTicks=2 resim=0 | cmd=0.0074 move=0.0424 vis=1.0913 econ=0.0242 combat=0.6366 route=0.6838 coll=0.9441 (field=0.0323 x541 prewarm=0.0213 x0) | botsP0=463 botsP1=3 stalled=0
tick=3767 frame=17.3195 sim=6.2365 route=0.0401 render=4.7022 simTicks=3 resim=0 | cmd=0.0133 move=0.0677 vis=2.2605 econ=0.086 combat=1.9651 route=0.222 coll=1.0441 (field=0 x0 prewarm=0.0092 x0) | botsP0=453 botsP1=3 stalled=0
tick=6155 frame=17.3163 sim=5.9579 route=0.156 render=3.4659 simTicks=2 resim=0 | cmd=0.0066 move=0.0378 vis=1.0589 econ=0.0417 combat=0.666 route=3.0816 coll=0.7498 (field=0.0007 x1 prewarm=2.7358 x1) | botsP0=463 botsP1=0 stalled=0
tick=6098 frame=17.0944 sim=3.4095 route=0.1415 render=5.1515 simTicks=2 resim=0 | cmd=0.0065 move=0.037 vis=1.1822 econ=0.0362 combat=0.6664 route=0.4058 coll=0.7557 (field=0 x0 prewarm=0.0076 x0) | botsP0=463 botsP1=0 stalled=0
tick=5679 frame=17.041 sim=0 route=0 render=6.9484 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=3 stalled=1
tick=5914 frame=17.0345 sim=3.1818 route=0.1688 render=4.6454 simTicks=2 resim=0 | cmd=0.006 move=0.0371 vis=1.0308 econ=0.0385 combat=0.6146 route=0.4146 coll=0.7378 (field=0 x0 prewarm=0.0087 x0) | botsP0=463 botsP1=1 stalled=0
tick=4622 frame=16.9741 sim=3.5565 route=0.4513 render=4.8409 simTicks=2 resim=0 | cmd=0.0072 move=0.0404 vis=0.8798 econ=0.021 combat=0.638 route=0.7354 coll=0.834 (field=0.0328 x535 prewarm=0.0195 x0) | botsP0=463 botsP1=3 stalled=0
tick=5965 frame=16.756 sim=7.3064 route=0.2289 render=3.4784 simTicks=2 resim=0 | cmd=0.0062 move=0.0369 vis=1.055 econ=0.0368 combat=4.6407 route=0.4796 coll=0.7659 (field=0 x0 prewarm=0.0084 x0) | botsP0=463 botsP1=0 stalled=0
tick=5815 frame=16.7353 sim=7.5174 route=0.2 render=3.9064 simTicks=2 resim=0 | cmd=0.0075 move=0.0433 vis=1.0625 econ=0.0475 combat=4.529 route=0.585 coll=0.8492 (field=0 x0 prewarm=0.0089 x0) | botsP0=463 botsP1=2 stalled=0
tick=4953 frame=16.5637 sim=3.7297 route=0.3537 render=4.205 simTicks=2 resim=0 | cmd=0.0064 move=0.0393 vis=0.9252 econ=0.0218 combat=0.676 route=0.7444 coll=0.913 (field=0.0334 x575 prewarm=0.0223 x0) | botsP0=463 botsP1=3 stalled=0
tick=5859 frame=16.4505 sim=8.1531 route=0.2355 render=4.0368 simTicks=2 resim=0 | cmd=0.0067 move=0.0387 vis=1.1239 econ=0.0502 combat=5.1255 route=0.5431 coll=0.8446 (field=0 x0 prewarm=0.0081 x0) | botsP0=463 botsP1=1 stalled=0
tick=5986 frame=16.3547 sim=10.0477 route=0.1986 render=3.7799 simTicks=2 resim=0 | cmd=0.0061 move=0.0389 vis=1.0673 econ=0.0374 combat=4.6457 route=3.1649 coll=0.74 (field=0.0002 x1 prewarm=2.7749 x1) | botsP0=463 botsP1=0 stalled=0
tick=6188 frame=16.3242 sim=5.5429 route=0.1465 render=3.4688 simTicks=2 resim=0 | cmd=0.0068 move=0.0375 vis=1.2084 econ=0.0487 combat=2.8281 route=0.3696 coll=0.7575 (field=0 x0 prewarm=0.0108 x0) | botsP0=463 botsP1=0 stalled=0
tick=3881 frame=16.259 sim=1.5214 route=0.0186 render=3.7725 simTicks=1 resim=0 | cmd=0.0042 move=0.0212 vis=0.5016 econ=0.0225 combat=0.3227 route=0.0802 coll=0.3541 (field=0 x0 prewarm=0.0026 x0) | botsP0=463 botsP1=3 stalled=0
tick=3643 frame=16.091 sim=2.7535 route=0.0294 render=6.1074 simTicks=2 resim=0 | cmd=0.0061 move=0.0361 vis=0.9342 econ=0.0423 combat=0.5818 route=0.1304 coll=0.6608 (field=0 x0 prewarm=0.0071 x0) | botsP0=418 botsP1=3 stalled=0
tick=6001 frame=15.951 sim=3.5181 route=0.0728 render=5.0703 simTicks=1 resim=0 | cmd=0.0033 move=0.0185 vis=0.5061 econ=0.0183 combat=2.208 route=0.2264 coll=0.3623 (field=0 x0 prewarm=0.0035 x0) | botsP0=463 botsP1=0 stalled=0
tick=5879 frame=15.8517 sim=3.497 route=0.2185 render=4.0496 simTicks=2 resim=0 | cmd=0.0067 move=0.0385 vis=1.136 econ=0.0398 combat=0.6381 route=0.516 coll=0.7786 (field=0.002 x1 prewarm=0.0139 x0) | botsP0=463 botsP1=1 stalled=0
tick=5912 frame=15.8498 sim=12.762 route=0.1884 render=3.9388 simTicks=2 resim=0 | cmd=0.0064 move=0.0383 vis=1.1656 econ=0.0389 combat=4.624 route=5.827 coll=0.7605 (field=0.0083 x2 prewarm=5.328 x2) | botsP0=463 botsP1=1 stalled=0
tick=5014 frame=15.7505 sim=3.9846 route=0.4177 render=6.5359 simTicks=2 resim=0 | cmd=0.0071 move=0.042 vis=0.9605 econ=0.0217 combat=0.6743 route=0.7135 coll=1.0918 (field=0.0261 x437 prewarm=0.0198 x0) | botsP0=463 botsP1=3 stalled=0
tick=3783 frame=15.7189 sim=4.9613 route=0.0371 render=3.8811 simTicks=2 resim=0 | cmd=0.0071 move=0.0414 vis=1.039 econ=0.0447 combat=0.8283 route=0.7111 coll=0.9498 (field=0 x0 prewarm=0.006 x0) | botsP0=458 botsP1=3 stalled=0
tick=4365 frame=15.7072 sim=1.8225 route=0.1626 render=6.908 simTicks=1 resim=0 | cmd=0.0049 move=0.024 vis=0.5254 econ=0.0096 combat=0.3487 route=0.3108 coll=0.3998 (field=0.0103 x199 prewarm=0.0096 x0) | botsP0=463 botsP1=3 stalled=0
tick=6195 frame=15.6432 sim=7.024 route=0.1432 render=3.5232 simTicks=2 resim=0 | cmd=0.0066 move=0.0376 vis=0.9987 econ=0.0368 combat=4.4915 route=0.3808 coll=0.7587 (field=0 x0 prewarm=0.0093 x0) | botsP0=463 botsP1=0 stalled=0
