FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=649 resimTicks=84 amplification=1.12943x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=633 frame=7.3543 sim=0 route=0 render=5.5779 simTicks=0 resim=1 | cmd=0.0116 move=0.017 vis=0.0628 econ=0.0073 combat=0.3113 route=0.0696 coll=0.0514 (field=0 x0 prewarm=0.0032 x0) | botsP0=4 botsP1=3 stalled=0
tick=552 frame=7.3488 sim=0 route=0 render=7.0451 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=517 frame=7.3449 sim=0 route=0 render=6.4532 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=74 frame=7.3426 sim=0 route=0 render=7.0051 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=594 frame=7.3388 sim=0 route=0 render=6.8105 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=425 frame=7.3291 sim=0 route=0 render=6.6533 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=298 frame=7.324 sim=0 route=0 render=6.8798 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=331 frame=7.3217 sim=0 route=0 render=6.4991 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=539 frame=7.3185 sim=0 route=0 render=6.5042 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=416 frame=7.3158 sim=0 route=0 render=6.5562 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=641 frame=7.3153 sim=0 route=0 render=7.0619 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=101 frame=7.3093 sim=0 route=0 render=6.6992 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=238 frame=7.3077 sim=0 route=0 render=6.6805 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=89 frame=7.3075 sim=0.3278 route=0.0094 render=6.6931 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=176 frame=7.307 sim=0 route=0 render=6.6506 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=488 frame=7.3069 sim=0 route=0 render=6.8425 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=22 frame=7.302 sim=0.3463 route=0.0097 render=6.2133 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=456 frame=7.3004 sim=0 route=0 render=6.5154 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=620 frame=7.2997 sim=0 route=0 render=6.6052 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=271 frame=7.2995 sim=0.8341 route=0.0101 render=5.8909 simTicks=1 resim=0 | cmd=0.0048 move=0.0212 vis=0.0645 econ=0.0072 combat=0.2846 route=0.0652 coll=0.0634 (field=0 x0 prewarm=0.0031 x0) | botsP0=4 botsP1=3 stalled=0
tick=312 frame=7.2984 sim=0 route=0 render=6.7191 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=536 frame=7.2962 sim=1.0383 route=0.0089 render=5.6274 simTicks=1 resim=0 | cmd=0.0057 move=0.0169 vis=0.0524 econ=0.0078 combat=0.3404 route=0.0768 coll=0.0572 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=308 frame=7.2911 sim=0.8346 route=0.0099 render=5.7427 simTicks=1 resim=0 | cmd=0.0056 move=0.016 vis=0.0719 econ=0.0074 combat=0.3355 route=0.063 coll=0.069 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=533 frame=7.2899 sim=0 route=0 render=6.5538 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=574 frame=7.2879 sim=0 route=0 render=6.6501 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=380 frame=7.2863 sim=0.9053 route=0.0087 render=5.9475 simTicks=1 resim=0 | cmd=0.0034 move=0.0141 vis=0.0682 econ=0.0103 combat=0.3611 route=0.0743 coll=0.061 (field=0 x0 prewarm=0.0033 x0) | botsP0=4 botsP1=3 stalled=0
tick=259 frame=7.2856 sim=0.9153 route=0.0108 render=6.1928 simTicks=1 resim=0 | cmd=0.0072 move=0.0275 vis=0.0704 econ=0.007 combat=0.342 route=0.0768 coll=0.0531 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
