FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=4608 resimTicks=923 amplification=1.2003x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4152 frame=14.0501 sim=2.222 route=0.0175 render=6.7749 simTicks=1 resim=0 | cmd=0.0032 move=0.0268 vis=0.8333 econ=0.0128 combat=0.321 route=0.1438 coll=0.234 (field=0 x0 prewarm=0.0046 x0) | botsP0=165 botsP1=153 stalled=0
tick=4524 frame=14.0138 sim=66.0319 route=0.2834 render=3.2831 simTicks=5 resim=24 | cmd=0.0988 move=0.5626 vis=7.9088 econ=0.3187 combat=62.6884 route=113.742 coll=7.2116 (field=0.0847 x667 prewarm=108.752 x45) | botsP0=140 botsP1=132 stalled=0
tick=4203 frame=14.0104 sim=3.8694 route=0.094 render=4.1987 simTicks=2 resim=3 | cmd=0.0172 move=0.0846 vis=2.7202 econ=0.0679 combat=2.3026 route=0.7285 coll=1.2433 (field=0.0021 x10 prewarm=0.0186 x0) | botsP0=165 botsP1=153 stalled=0
tick=140 frame=13.9855 sim=0.3805 route=0.0132 render=1.2252 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=3578 frame=13.7157 sim=4.1699 route=0.0183 render=3.9802 simTicks=2 resim=0 | cmd=0.0067 move=0.0533 vis=1.3927 econ=0.0714 combat=1.531 route=0.1847 coll=0.3882 (field=0 x0 prewarm=0.0077 x0) | botsP0=165 botsP1=99 stalled=0
tick=1404 frame=13.6918 sim=1.7497 route=0.0193 render=1.659 simTicks=2 resim=0 | cmd=0.0132 move=0.0329 vis=0.2503 econ=0.0174 combat=0.5699 route=0.1585 coll=0.1768 (field=0 x0 prewarm=0.0059 x0) | botsP0=3 botsP1=8 stalled=0
tick=4193 frame=13.6755 sim=6.9795 route=0.082 render=4.2829 simTicks=2 resim=3 | cmd=0.0153 move=0.0797 vis=2.6973 econ=0.1043 combat=1.8886 route=4.4057 coll=1.2231 (field=0.0034 x10 prewarm=2.8894 x1) | botsP0=165 botsP1=153 stalled=0
tick=4206 frame=13.5903 sim=1.3289 route=0.0602 render=5.5403 simTicks=1 resim=3 | cmd=0.0155 move=0.0806 vis=1.8106 econ=0.0483 combat=1.1844 route=1.326 coll=1.2041 (field=0.0013 x7 prewarm=0.0158 x0) | botsP0=165 botsP1=153 stalled=0
tick=4190 frame=13.5354 sim=2.549 route=0.0871 render=3.395 simTicks=2 resim=3 | cmd=0.0168 move=0.0827 vis=2.3919 econ=0.0703 combat=1.691 route=1.4628 coll=1.1603 (field=0.0061 x10 prewarm=0.0228 x0) | botsP0=165 botsP1=153 stalled=0
tick=127 frame=13.5208 sim=0.348 route=0.0124 render=1.2508 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4577 frame=13.5163 sim=191.698 route=0.4641 render=3.181 simTicks=5 resim=24 | cmd=0.0914 move=0.5218 vis=7.8038 econ=0.3323 combat=84.8848 route=363.968 coll=7.1448 (field=0.1882 x650 prewarm=358.553 x146) | botsP0=134 botsP1=124 stalled=0
tick=4172 frame=13.442 sim=4.0405 route=0.055 render=4.7898 simTicks=2 resim=4 | cmd=0.0259 move=0.1523 vis=3.6943 econ=0.114 combat=2.9925 route=0.9813 coll=1.9526 (field=0.001 x6 prewarm=0.0195 x0) | botsP0=165 botsP1=153 stalled=0
tick=4199 frame=13.3969 sim=6.8856 route=0.0559 render=4.7941 simTicks=1 resim=4 | cmd=0.0175 move=0.0893 vis=2.3769 econ=0.0619 combat=1.9554 route=6.4315 coll=1.5075 (field=0.0017 x7 prewarm=5.4713 x2) | botsP0=165 botsP1=153 stalled=0
tick=4164 frame=13.374 sim=3.2262 route=0.0495 render=4.08 simTicks=1 resim=0 | cmd=0.0032 move=0.0161 vis=0.6449 econ=0.0395 combat=1.6117 route=0.5136 coll=0.2274 (field=0.0006 x2 prewarm=0.0036 x0) | botsP0=165 botsP1=153 stalled=0
tick=4181 frame=13.358 sim=3.973 route=0.0662 render=4.101 simTicks=2 resim=3 | cmd=0.0193 move=0.0857 vis=2.8844 econ=0.1372 combat=1.9167 route=0.9184 coll=1.4577 (field=0.0017 x9 prewarm=0.0175 x0) | botsP0=165 botsP1=153 stalled=0
tick=4187 frame=13.3082 sim=2.5387 route=0.0572 render=3.2521 simTicks=2 resim=3 | cmd=0.0187 move=0.0858 vis=2.671 econ=0.0918 combat=1.9977 route=0.8 coll=1.2171 (field=0.0011 x6 prewarm=0.0171 x0) | botsP0=165 botsP1=153 stalled=0
tick=4220 frame=13.2462 sim=18.1336 route=0.0758 render=3.9357 simTicks=2 resim=3 | cmd=0.0155 move=0.1004 vis=2.0662 econ=0.0574 combat=5.8569 route=13.2976 coll=1.3421 (field=0.0019 x8 prewarm=11.8814 x4) | botsP0=165 botsP1=153 stalled=0
tick=4196 frame=13.1831 sim=1.6481 route=0.039 render=3.8562 simTicks=1 resim=3 | cmd=0.0159 move=0.0836 vis=2.1514 econ=0.0501 combat=1.4589 route=1.0315 coll=1.0778 (field=0.0005 x3 prewarm=0.0191 x0) | botsP0=165 botsP1=153 stalled=0
tick=4208 frame=13.1409 sim=3.7373 route=0.2182 render=5.902 simTicks=2 resim=2 | cmd=0.0378 move=0.1044 vis=1.8829 econ=0.0479 combat=1.5445 route=0.6074 coll=1.0366 (field=0.0013 x8 prewarm=0.0149 x0) | botsP0=165 botsP1=153 stalled=0
tick=138 frame=13.0997 sim=0.2286 route=0.0088 render=1.1307 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=4185 frame=13.0878 sim=1.3583 route=0.0349 render=4.9868 simTicks=1 resim=4 | cmd=0.0193 move=0.1231 vis=2.6451 econ=0.0864 combat=2.1464 route=0.6993 coll=1.1706 (field=0.0009 x4 prewarm=0.0197 x0) | botsP0=165 botsP1=153 stalled=0
tick=3509 frame=13.0643 sim=2.6847 route=0.0173 render=4.7165 simTicks=2 resim=0 | cmd=0.0057 move=0.0282 vis=1.1349 econ=0.0293 combat=0.57 route=0.1379 coll=0.4096 (field=0 x0 prewarm=0.0047 x0) | botsP0=165 botsP1=75 stalled=0
