FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=2569 resimTicks=12 amplification=1.00467x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=4 frame=8.3144 sim=0.2308 route=0.008 render=6.1474 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1518 frame=8.2936 sim=0.7244 route=0.0103 render=5.1565 simTicks=1 resim=0 | cmd=0.0045 move=0.019 vis=0.0539 econ=0.0069 combat=0.3111 route=0.0661 coll=0.0534 (field=0 x0 prewarm=0.0027 x0) | botsP0=4 botsP1=3 stalled=0
tick=755 frame=8.2622 sim=0 route=0 render=6.9292 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1399 frame=8.2181 sim=0 route=0 render=5.911 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1371 frame=8.2111 sim=0.7072 route=0.0087 render=4.8776 simTicks=1 resim=0 | cmd=0.0035 move=0.013 vis=0.0538 econ=0.0071 combat=0.3194 route=0.0676 coll=0.0526 (field=0 x0 prewarm=0.0026 x0) | botsP0=4 botsP1=3 stalled=0
tick=657 frame=8.199 sim=0 route=0 render=6.5602 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=655 frame=8.1905 sim=0 route=0 render=6.963 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=660 frame=8.1901 sim=0 route=0 render=6.6641 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1389 frame=8.1702 sim=0.6202 route=0.0081 render=5.1088 simTicks=1 resim=0 | cmd=0.0034 move=0.0125 vis=0.0458 econ=0.007 combat=0.2867 route=0.0493 coll=0.0553 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=1970 frame=8.1614 sim=0.8167 route=0.0087 render=5.3318 simTicks=1 resim=0 | cmd=0.0033 move=0.0123 vis=0.0453 econ=0.0068 combat=0.4511 route=0.0532 coll=0.0576 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
tick=537 frame=8.1228 sim=2.7152 route=0.0101 render=7.3766 simTicks=1 resim=0 | cmd=0.0033 move=0.0131 vis=0.0509 econ=0.0077 combat=2.2361 route=0.0755 coll=0.0544 (field=0 x0 prewarm=0.0067 x0) | botsP0=4 botsP1=3 stalled=0
tick=1730 frame=8.1021 sim=0.7022 route=0.0084 render=5.3062 simTicks=1 resim=0 | cmd=0.0037 move=0.0203 vis=0.0497 econ=0.0078 combat=0.3053 route=0.0589 coll=0.0561 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=1490 frame=8.0846 sim=0.6676 route=0.0087 render=5.2822 simTicks=1 resim=0 | cmd=0.0034 move=0.0128 vis=0.0553 econ=0.007 combat=0.2797 route=0.0616 coll=0.0539 (field=0 x0 prewarm=0.0023 x0) | botsP0=4 botsP1=3 stalled=0
tick=1575 frame=8.0765 sim=0 route=0 render=5.9525 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=5 frame=8.0504 sim=0 route=0 render=6.0996 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1850 frame=8.0292 sim=0.74 route=0.0088 render=5.3342 simTicks=1 resim=0 | cmd=0.0035 move=0.0138 vis=0.0529 econ=0.007 combat=0.291 route=0.1294 coll=0.0538 (field=0 x0 prewarm=0.0015 x0) | botsP0=4 botsP1=3 stalled=0
tick=889 frame=8.027 sim=0 route=0 render=6.0508 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1223 frame=8.0217 sim=0 route=0 render=5.9425 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=49 frame=8.0139 sim=0 route=0 render=5.9565 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=1543 frame=7.9936 sim=0 route=0 render=5.767 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=169 frame=7.9917 sim=0 route=0 render=6.1045 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=2248 frame=7.9764 sim=0.7903 route=0.0094 render=5.3797 simTicks=1 resim=0 | cmd=0.0037 move=0.0132 vis=0.0526 econ=0.0071 combat=0.2971 route=0.0584 coll=0.0672 (field=0 x0 prewarm=0.0025 x0) | botsP0=4 botsP1=3 stalled=0
