FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=4619 frame=28.1984 sim=174.843 route=0.4898 render=3.4284 simTicks=8 resim=0 | cmd=0.0267 move=0.1673 vis=3.4837 econ=0.1239 combat=22.7083 route=143.846 coll=3.1085 (field=0.0089 x24) | botsP0=173 botsP1=193 stalled=0
tick=4763 frame=26.596 sim=119.796 route=0.4442 render=3.4707 simTicks=7 resim=0 | cmd=0.0235 move=0.1484 vis=2.6182 econ=0.0826 combat=19.3968 route=93.8611 coll=2.4866 (field=0.0108 x29) | botsP0=159 botsP1=192 stalled=0
tick=4514 frame=26.5951 sim=0 route=0 render=18.8049 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=192 botsP1=194 stalled=1
tick=4406 frame=26.4423 sim=32.8352 route=0.361 render=3.818 simTicks=7 resim=0 | cmd=0.0208 move=0.1376 vis=2.8675 econ=0.0768 combat=15.5827 route=10.7113 coll=2.5262 (field=0.013 x39) | botsP0=207 botsP1=195 stalled=0
tick=4466 frame=26.2808 sim=0 route=0 render=4.2712 simTicks=0 resim=12 | cmd=0.0494 move=0.2694 vis=5.1108 econ=0.1364 combat=47.7376 route=255.705 coll=4.8965 (field=0.2306 x544) | botsP0=196 botsP1=194 stalled=1
tick=4386 frame=25.8088 sim=0 route=0 render=6.4066 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=210 botsP1=195 stalled=0
tick=4367 frame=25.4243 sim=9.6713 route=0.1057 render=3.4383 simTicks=2 resim=0 | cmd=0.0055 move=0.0331 vis=0.8543 econ=0.0227 combat=4.4198 route=3.345 coll=0.6825 (field=0.0032 x9) | botsP0=211 botsP1=195 stalled=0
tick=4562 frame=25.3787 sim=0 route=0 render=3.4282 simTicks=0 resim=4 | cmd=0.0136 move=0.076 vis=1.4805 econ=0.048 combat=8.9787 route=42.1475 coll=1.4848 (field=0.0427 x101) | botsP0=184 botsP1=194 stalled=1
tick=4755 frame=24.997 sim=0 route=0 render=9.8605 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=159 botsP1=192 stalled=1
tick=4755 frame=24.7598 sim=0 route=0 render=22.7279 simTicks=0 resim=1 | cmd=0.0041 move=0.02 vis=0.3823 econ=0.0115 combat=0.3057 route=0.2521 coll=0.2994 (field=0.0024 x16) | botsP0=159 botsP1=192 stalled=1
tick=4658 frame=24.1805 sim=0 route=0 render=17.301 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=167 botsP1=192 stalled=1
tick=4707 frame=24.1231 sim=0 route=0 render=35.9959 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=165 botsP1=192 stalled=1
tick=4338 frame=24.1113 sim=9.9403 route=0.1207 render=3.4769 simTicks=2 resim=0 | cmd=0.0057 move=0.0345 vis=0.9318 econ=0.0218 combat=4.6495 route=3.2422 coll=0.7454 (field=0.0012 x4) | botsP0=211 botsP1=195 stalled=0
tick=4386 frame=24.0632 sim=0 route=0 render=5.8793 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0) | botsP0=210 botsP1=195 stalled=0
