FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
tick=3500 frame=12.8265 sim=2.4772 route=0.0121 render=3.3979 simTicks=1 resim=0 | cmd=0.0032 move=0.0182 vis=1.3097 econ=0.02 combat=0.2339 route=0.1441 coll=0.5736 | botsP0=171 botsP1=208 stalled=0
tick=3705 frame=12.8252 sim=2.862 route=0.0086 render=5.3112 simTicks=1 resim=0 | cmd=0.0035 move=0.0176 vis=1.6369 econ=0.0224 combat=0.2212 route=0.1303 coll=0.6217 | botsP0=227 botsP1=208 stalled=0
tick=4215 frame=12.7192 sim=0 route=0 render=8.5365 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=198 stalled=1
tick=3717 frame=12.7032 sim=2.8757 route=0.0096 render=5.209 simTicks=1 resim=0 | cmd=0.0037 move=0.0183 vis=1.6607 econ=0.022 combat=0.2205 route=0.1209 coll=0.6193 | botsP0=227 botsP1=208 stalled=0
tick=4039 frame=12.5733 sim=4.0639 route=0.0473 render=4.0799 simTicks=1 resim=0 | cmd=0.0033 move=0.0175 vis=0.8706 econ=0.0154 combat=2.2077 route=0.2227 coll=0.5831 | botsP0=234 botsP1=208 stalled=0
tick=4038 frame=12.4633 sim=8.0939 route=0.0834 render=4.2128 simTicks=2 resim=0 | cmd=0.006 move=0.0359 vis=1.7552 econ=0.0402 combat=4.2489 route=0.5406 coll=1.1681 | botsP0=234 botsP1=208 stalled=0
tick=3698 frame=12.4532 sim=4.4219 route=0.0084 render=3.805 simTicks=1 resim=0 | cmd=0.0031 move=0.0601 vis=2.0567 econ=0.0551 combat=1.0889 route=0.1557 coll=0.6223 | botsP0=227 botsP1=208 stalled=0
tick=3548 frame=12.4344 sim=2.5311 route=0.0142 render=4.8929 simTicks=1 resim=0 | cmd=0.0029 move=0.0169 vis=1.4814 econ=0.0208 combat=0.2343 route=0.1126 coll=0.4723 | botsP0=192 botsP1=208 stalled=0
tick=1597 frame=12.4204 sim=1.5519 route=0.0185 render=1.7604 simTicks=2 resim=0 | cmd=0.014 move=0.0388 vis=0.0531 econ=0.0156 combat=0.5546 route=0.2996 coll=0.0531 | botsP0=10 botsP1=3 stalled=0
tick=3571 frame=12.3402 sim=2.7108 route=0.0085 render=5.3266 simTicks=1 resim=0 | cmd=0.0046 move=0.028 vis=1.5169 econ=0.0256 combat=0.2651 route=0.1495 coll=0.5319 | botsP0=199 botsP1=208 stalled=0
tick=4203 frame=12.327 sim=0 route=0 render=8.9834 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=229 botsP1=200 stalled=1
tick=4191 frame=12.2983 sim=0 route=0 render=10.4236 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=230 botsP1=202 stalled=1
tick=4191 frame=12.2113 sim=0 route=0 render=10.4197 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=230 botsP1=202 stalled=1
tick=3920 frame=12.1474 sim=0 route=0 render=6.1206 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=234 botsP1=208 stalled=1
tick=3592 frame=12.1228 sim=2.6635 route=0.0081 render=5.2601 simTicks=1 resim=0 | cmd=0.0029 move=0.0168 vis=1.5691 econ=0.0232 combat=0.2427 route=0.1214 coll=0.5309 | botsP0=206 botsP1=208 stalled=0
tick=3741 frame=12.117 sim=5.0326 route=0.0087 render=4.3666 simTicks=1 resim=0 | cmd=0.0029 move=0.018 vis=1.6756 econ=0.0228 combat=0.5719 route=1.8818 coll=0.6801 | botsP0=227 botsP1=208 stalled=0
tick=4179 frame=12.1064 sim=0 route=0 render=10.1832 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=231 botsP1=203 stalled=1
tick=4167 frame=12.0184 sim=0 route=0 render=10.4572 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=232 botsP1=203 stalled=1
tick=4179 frame=12.0113 sim=0 route=0 render=10.9585 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 | botsP0=231 botsP1=203 stalled=1
